epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/reward,val/max_aug_reward,val/max_reward,val/reward
,0.0003,0,,,,,,,,
,,49,,,169.67034339904785,,,,,
,,49,,3.1020641326904297,,,,,,
0,,49,,,,0.616175651550293,-6.828668117523193,,,
,,99,,,172.22118377685547,,,,,
,,99,,20.91813087463379,,,,,,
0,,99,,,,0.6103577613830566,-6.670837879180908,,,
,,149,,,164.0794277191162,,,,,
,,149,,3.347158432006836,,,,,,
0,,149,,,,0.6059390306472778,-6.579965114593506,,,
,,199,,,172.5451946258545,,,,,
,,199,,22.825956344604492,,,,,,
0,,199,,,,0.6159622073173523,-6.554952144622803,,,
,,249,,,165.57836532592773,,,,,
,,249,,2.8791427612304688,,,,,,
0,,249,,,,0.6099967360496521,-6.46566104888916,,,
,,299,,,168.8232421875,,,,,
,,299,,23.37646484375,,,,,,
0,,299,,,,0.6193214058876038,-6.41712760925293,,,
,,349,,,165.02952575683594,,,,,
,,349,,2.8715133666992188,,,,,,
0,,349,,,,0.6163128018379211,-6.356249809265137,,,
,,399,,,164.70861434936523,,,,,
,,399,,20.581960678100586,,,,,,
0,,399,,,,0.6199139356613159,-6.364859580993652,,,
,,449,,,164.9494171142578,,,,,
,,449,,2.996206283569336,,,,,,
0,,449,,,,0.6163380742073059,-6.355813980102539,,,
,,499,,,166.02325439453125,,,,,
,,499,,20.436763763427734,,,,,,
0,,499,,,,0.6215962767601013,-6.256414890289307,,,
,,549,,,164.933443069458,,,,,
,,549,,2.7642250061035156,,,,,,
0,,549,,,,0.6125914454460144,-6.341827392578125,,,
,,599,,,171.6620922088623,,,,,
,,599,,20.412921905517578,,,,,,
0,,599,,,,0.6223347187042236,-6.306175231933594,,,
,,649,,,169.04616355895996,,,,,
,,649,,4.182100296020508,,,,,,
0,,649,,,,0.6209964156150818,-6.28483772277832,,,
,,699,,,168.61724853515625,,,,,
,,699,,20.427942276000977,,,,,,
0,,699,,,,0.6245144009590149,-6.249799728393555,,,
,,749,,,164.59035873413086,,,,,
,,749,,2.8188228607177734,,,,,,
0,,749,,,,0.6264371275901794,-6.269861221313477,,,
,,799,,,166.12553596496582,,,,,
,,799,,20.59769630432129,,,,,,
0,,799,,,,0.6168667078018188,-6.246438980102539,,,
,,849,,,170.1071262359619,,,,,
,,849,,2.8798580169677734,,,,,,
0,,849,,,,0.622878909111023,-6.259581089019775,,,
,,899,,,164.58988189697266,,,,,
,,899,,20.237445831298828,,,,,,
0,,899,,,,0.62226802110672,-6.203409194946289,,,
,,949,,,163.50603103637695,,,,,
,,949,,2.6602745056152344,,,,,,
0,,949,,,,0.622163712978363,-6.179718494415283,,,
,,999,,,165.82560539245605,,,,,
,,999,,20.962953567504883,,,,,,
0,,999,,,,0.6183454394340515,-6.228043079376221,,,
,,1049,,,167.9532527923584,,,,,
,,1049,,3.777027130126953,,,,,,
0,,1049,,,,0.620914876461029,-6.227065086364746,,,
,,1099,,,168.12777519226074,,,,,
,,1099,,23.452043533325195,,,,,,
0,,1099,,,,0.6258199214935303,-6.187836170196533,,,
,,1149,,,164.2148494720459,,,,,
,,1149,,2.9730796813964844,,,,,,
0,,1149,,,,0.6210289001464844,-6.229676246643066,,,
,,1199,,,166.3341522216797,,,,,
,,1199,,23.966550827026367,,,,,,
0,,1199,,,,0.6181474924087524,-6.191330432891846,,,
,,1249,,,164.83139991760254,,,,,
,,1249,,2.858877182006836,,,,,,
0,,1249,,,,0.6253869533538818,-6.202672004699707,,,
,,1299,,,165.08960723876953,,,,,
,,1299,,20.281314849853516,,,,,,
0,,1299,,,,0.6231372356414795,-6.27699089050293,,,
,,1349,,,164.808988571167,,,,,
,,1349,,2.858400344848633,,,,,,
0,,1349,,,,0.6274391412734985,-6.191310405731201,,,
,,1399,,,164.6132469177246,,,,,
,,1399,,20.645856857299805,,,,,,
0,,1399,,,,0.6154029965400696,-6.223670482635498,,,
,,1449,,,165.56167602539062,,,,,
,,1449,,2.8514862060546875,,,,,,
0,,1449,,,,0.6264121532440186,-6.172993183135986,,,
,,1499,,,164.99590873718262,,,,,
,,1499,,20.054101943969727,,,,,,
